movie_id,title,year,tmdb_id,directors,actors,genres,tags,avg_rating,rating_count
72,Kicking and Screaming,1995,28387,,,Comedy Drama,noah baumbach coming-of-age criterion literate talky wistful wry bad whit stillman,3.5024,1230
73,"Misérables, Les",1995,48750,,,Drama War,world war ii adapted from:book author:victor hugo based on a book changed the book too much claude lelouch foreign language jewish,3.8068,2955
74,Bed of Roses,1996,20927,,,Drama Romance,chick flick romance girlie movie mary stuart masterson predictable,3.3022,3514
75,Big Bully,1996,36929,,,Comedy Drama,golden raspberry (worst actor) steve miner,2.4624,558
76,Screamers,1995,9102,,,Action Sci-Fi Thriller,philip k. dick artificial intelligence post apocalyptic horror so bad it's good post-apocalyptic robots sci-fi,3.009,3380
77,Nico Icon,1995,124626,,,Documentary,biopic enigmatic music performer the velvet underground,3.4299,221
78,"Crossing Guard, The",1995,27526,,,Action Crime Drama Thriller,nudity (topless) jack nicholson revenge sean penn,3.1807,1226
79,"Juror, The",1996,9623,,,Drama Thriller,nudity (topless) brian gibson,3.1285,5535
80,"White Balloon, The (Badkonake sefid)",1995,46785,,,Children Drama,children cultural customs and traditions different girl goldfish jafar panahi lost classic money,3.7243,575
81,Things to Do in Denver When You're Dead,1995,400,,,Crime Drama Romance,recommendz top pick 23-5-2007 assassin colorado denver detroit friendship gangsters,3.2674,3209
82,Antonia's Line (Antonia),1995,880,,,Comedy Drama,strong woman nudity (full frontal) intellectual lesbian mathematics 2.5 bechdel test:pass fantasy,4.0049,2538
83,Once Upon a Time... When We Were Colored,1995,146599,,,Drama Romance,3 based on a book biography mississippi racism segregation tim reid,3.6532,594
84,Last Summer in the Hamptons,1995,188588,,,Comedy Drama,,3.4177,158
85,Angels and Insects,1995,8447,,,Drama Romance,19th century nudity (full frontal - notable) a. s. byatt secrets adaptation based on a book compelling darwinism,3.5311,2714
86,White Squall,1996,10534,,,Action Adventure Drama,ridley scott sailing coming of age history storm clv educational ensemble cast,3.4834,4308
87,Dunston Checks In,1996,17414,,,Children Comedy,ken kwapis rupert everett,2.3596,976
88,Black Sheep,1996,13997,,,Comedy,chris farley easily confused with other movie(s) (title) comedy not bad. penelope spheeris politics saturday night live,3.1076,4864
89,Nick of Time,1995,2086,,,Action Thriller,johnny depp blackmail child in peril christopher walken conspiracy elevator governor hostage,3.1398,3247
90,"Journey of August King, The",1995,61548,,,Drama,,3.3575,214
92,Mary Reilly,1996,9095,,,Drama Horror Thriller,what is with robert's bangs in this movie?! grr can't remember jekyll and hyde john malkovich related:dr. jekyll and mr. hyde,2.8541,2303
93,Vampire in Brooklyn,1995,12158,,,Comedy Horror Romance,angela bassett clv vampires wes craven,2.5287,1966
94,Beautiful Girls,1996,9283,,,Comedy Drama Romance,natalie portman uma thurman matt dillon friendship relations beautiful portman atmospheric believable,3.5269,4030
95,Broken Arrow,1996,9208,,,Action Adventure Thriller,john travolta action packed john woo action military utah air force christian slater,3.0946,22104
96,In the Bleak Midwinter,1995,40154,,,Comedy Drama,kenneth branagh theater,3.6874,483
97,"Hate (Haine, La)",1995,406,,,Crime Drama,social commentary black and white french cynical gritty bleak confrontational disturbing,3.9964,1963
98,Shopping,1994,45549,,,Action Thriller,want to own directorial debut jude law,2.4877,81
99,Heidi Fleiss: Hollywood Madam,1995,63076,,,Documentary,,3.1054,726
100,City Hall,1996,11062,,,Drama Thriller,al pacino corruption politics clv harold becker own,3.2214,4115
101,Bottle Rocket,1996,13685,,,Adventure Comedy Crime Romance,wes anderson quirky off-beat comedy owen wilson luke wilson nothing goes right sweet bill murray,3.7863,4298
102,Mr. Wrong,1996,47475,,,Comedy,nick castle one of the worst ever stupid,2.4295,1992
103,Unforgettable,1996,2045,,,Mystery Sci-Fi Thriller,forgettable,3.2692,1133
104,Happy Gilmore,1996,9614,,,Comedy,adam sandler golf sports bob barker comedy seen more than once you're gonna die clown carl weathers,3.4171,17915
105,"Bridges of Madison County, The",1995,688,,,Drama Romance,affair clint eastwood meryl streep sentimental based on a book bechdel test:pass bittersweet heartwarming,3.3263,9620
106,Nobody Loves Me (Keiner liebt mich),1994,11907,,,Comedy Drama,,3.444,134
107,Muppet Treasure Island,1996,10874,,,Adventure Children Comedy Musical,treasure muppets pirates tim curry based on a book bill connolly billy connolly david goelz,3.2153,6376
108,Catwalk,1996,89333,,,Documentary,,3.092,125
109,Headless Body in Topless Bar,1995,96357,,,Comedy Drama Thriller,,2.0625,16
110,Braveheart,1995,197,,,Action Drama War,mel gibson medieval historical war action scotland nudity (topless) oscar (best picture),4.0425,53769
111,Taxi Driver,1976,103,,,Crime Drama Thriller,robert de niro dark martin scorsese cult film loneliness mental illness atmospheric classic,4.1106,24481
112,Rumble in the Bronx (Hont faan kui),1995,33542,,,Action Adventure Comedy Crime,jackie chan kung fu fight scenes amazing fight choreography martial arts hong kong kung-fu bad dub,3.4126,11890
113,Before and After,1996,43566,,,Drama Mystery,,3.1093,1089
114,Margaret's Museum,1995,71754,,,Drama,canada less than 300 ratings might like mining mort ransen nova scotia,3.6194,247
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,43612,,,Comedy,01/11 03/10 05/10 06/10 08/10 10/10 11/10 12/10,3.4079,38
116,Anne Frank Remembered,1995,51352,,,Documentary,holocaust biography germany nazis true story anti-semitism archive footage glenn close,3.9373,949
117,"Young Poisoner's Handbook, The",1995,16934,,,Crime Drama,awesome benjamin ross cool disturbing dysfunctional family murder to see true story,3.5894,1264
118,If Lucy Fell,1996,10324,,,Comedy Romance,clv,3.011,1136
119,"Steal Big, Steal Little",1995,78406,,,Comedy,,2.7727,264
120,Race the Sun,1996,55731,,,Adventure Comedy Drama,,2.881,147
121,"Boys of St. Vincent, The",1992,32119,,,Drama,child abuse sexual abuse 1970s based on a true story catholicism christianity corruption cover up,3.7533,837
122,Boomerang,1992,11066,,,Comedy Romance,can't remember clv dating nudity (topless - brief),2.8677,3888
123,Chungking Express (Chung Hing sam lam),1994,11104,,,Drama Mystery Romance,stylized dreamlike good music reflective fanciful hong kong loneliness criterion,3.9693,2309
124,"Star Maker, The (Uomo delle stelle, L')",1995,37975,,,Drama,giuseppe tornatore,3.4984,319
125,Flirting With Disaster,1996,2074,,,Comedy,ben stiller david o. russell patricia arquette screwball comedy ensemble cast nudity (topless - brief) tã©a leoni glenn fitzgerald,3.7557,3518
126,"NeverEnding Story III, The",1994,27793,,,Adventure Children Fantasy,,2.3121,1376
127,"Silences of the Palace, The (Saimt el Qusur)",1994,44284,,,Drama,,3.2561,41
128,Jupiter's Wife,1994,290157,,,Documentary,dvd-video michel negroponte,3.5,75
129,Pie in the Sky,1996,110972,,,Comedy Romance,nudity (topless - notable) nudity (topless),3.1632,190
130,Angela,1995,32622,,,Drama,,3.1154,39
131,Frankie Starlight,1995,73067,,,Drama Romance,,3.2912,194
132,Jade,1995,11863,,,Thriller,nudity (rear) chazz palminteri clv flop linda fiorentino nudity (topless - brief) san francisco screenwriter:joe eszterhas,2.7732,2123
133,Nueba Yol,1995,55475,,,Comedy Drama,drama spanish,2.6053,19
134,Sonic Outlaws,1995,124636,,,Documentary,craig baldwin illegal art,3.6528,36
135,Down Periscope,1996,9101,,,Comedy,submarine good comedy harland williams rebel commander renegade crew rusty sub u.s. navy submarine bruce dern,2.998,6305
136,From the Journals of Jean Seberg,1995,123360,,,Documentary,documentary mark rappaport tragedy,3.549,102
137,Man of the Year,1995,5757,,,Documentary,,3.2854,226
138,"Neon Bible, The",1995,39428,,,Drama,1940s based on a book,3.2847,137
139,Target,1995,124639,,,Action Drama,,3.0732,41
140,Up Close and Personal,1996,9302,,,Drama Romance,journalism love story afternoon section bibliothek stockard channing,3.2938,5073
141,"Birdcage, The",1996,11000,,,Comedy,comedy gay gay stereotypes robin williams based on a play gene hackman homosexual theme queer,3.5122,22020
142,Shadows (Cienie),1988,,,,Drama,,3.061,41
143,Gospa,1995,249882,,,Drama,,2.1429,14
144,"Brothers McMullen, The",1995,16388,,,Comedy,edward burns family irish reviewed,3.4771,4505
145,Bad Boys,1995,9737,,,Action Comedy Crime Drama Thriller,will smith action michael bay drugs miami buddy movie easily confused with other movie(s) (title) bad movie,3.2508,11975
146,"Amazing Panda Adventure, The",1995,30765,,,Adventure Children,christopher cain,2.9121,580
147,"Basketball Diaries, The",1995,10474,,,Drama,leonardo dicaprio drugs based on a true story addiction escape catholicism drug addiction heroin,3.5829,4118
148,"Awfully Big Adventure, An",1995,22279,,,Drama,nudity (topless - notable) nudity (topless),2.8894,357
149,Amateur,1994,30157,,,Crime Drama Thriller,amnesia cerebral deliberate hal hartley haunted by the past humorous interesting literate,3.6943,1091
150,Apollo 13,1995,568,,,Adventure Drama IMAX,space tom hanks based on a true story true story dramatic space program nasa astronauts,3.8686,47777
151,Rob Roy,1995,11780,,,Action Drama Romance War,18th century rape scotland sword fight atmospheric can't remember dvd-video earthy,3.539,12616
152,"Addiction, The",1995,34996,,,Drama Horror,christopher walken vampires drug abuse lili taylor philosophical stylized,3.1045,651
153,Batman Forever,1995,414,,,Action Adventure Comedy Crime,jim carrey superhero comic book batman tommy lee jones nicole kidman val kilmer sequel,2.8947,32867
154,Beauty of the Day (Belle de jour),1967,649,,,Drama,bunuel double life catherine deneuve enigmatic extramarital affairs prostitutes satirical sexy,3.802,3010
155,Beyond Rangoon,1995,1873,,,Adventure Drama War,history wonderful surprise movie,3.4079,1276
156,Blue in the Face,1995,5894,,,Comedy Drama,nudity (topless) brooklyn clv in netflix queue jim jarmusch lille fille. lou reed memasa's movies,3.528,1663
157,Canadian Bacon,1995,1775,,,Comedy War,politics michael moore conspiracy sarcasm,2.7847,2596
158,Casper,1995,8839,,,Adventure Children,family ghosts christina ricci ghost brad silberling funny romance boygirl dancing sentimental,2.932,12625
159,Clockers,1995,20649,,,Crime Drama Mystery,dvd-video,3.4169,2366
160,Congo,1995,10329,,,Action Adventure Mystery Sci-Fi,michael crichton jungle africa ?adapted from:book author:michael chricton? author:michael crichton based on a book clv,2.6047,14965
161,Crimson Tide,1995,8963,,,Drama Thriller War,tense submarine gene hackman denzel washington viggo mortensen war clearplay clv,3.7442,23628
162,Crumb,1994,26564,,,Documentary,documentary artist mind comic book biography deliberate disturbing irreverent quirky,4.0099,5995
163,Desperado,1995,8068,,,Action Romance Western,action antonio banderas robert rodriguez steve buscemi romance mexico organized crime violence,3.4454,14321
164,Devil in a Blue Dress,1995,8512,,,Crime Film-Noir Mystery Thriller,atmospheric based on a book cheadle appearance denzel's fine behind femmes fatales film noir moody noir thriller,3.4636,4435
165,Die Hard: With a Vengeance,1995,1572,,,Action Crime Thriller,bruce willis samuel l. jackson action always watch it when it's on tv terrorism violent lone hero new york city,3.489,33940
166,"Doom Generation, The",1995,13552,,,Comedy Crime Drama,cult film surreal campy dark comedy nudity (topless) phashion shock and truth violent,2.7877,650
167,Feast of July,1995,259209,,,Drama,last words connection,3.1646,79
168,First Knight,1995,6520,,,Action Drama Romance,sean connery arthurian legend chick flick clv julia ormond king arthur richard gere romance,3.0847,12084
169,Free Willy 2: The Adventure Home,1995,9073,,,Adventure Children Drama,family adventure animal:orca animal:whale,2.2837,3358
170,Hackers,1995,10428,,,Action Adventure Crime Thriller,computers angelina jolie hacking hackers cult film internet high school cyberpunk,3.1976,7875
171,Jeffrey,1995,17447,,,Comedy Drama,gay aids 4th wall christopher ashley clv friendship relations romantic comedy,3.603,1427
172,Johnny Mnemonic,1995,9886,,,Action Sci-Fi Thriller,cyberpunk keanu reeves dystopia sci-fi memory william gibson futuristic henry rollins,2.7326,12706
173,Judge Dredd,1995,9482,,,Action Crime Sci-Fi,dystopia sylvester stallone comic book police police corruption future cheesy lines corruption,2.5383,14993
174,Jury Duty,1995,19326,,,Comedy,clv golden raspberry (worst actor) john fortenberry tacos,2.456,2124
175,Kids,1995,9344,,,Drama,drugs controversial new york city nudity (full frontal) aids teenagers youth gone wild indecent,3.5076,4801
176,Living in Oblivion,1995,9071,,,Comedy,film-making indie meta-indie behind-the-scenes catherine keener nudity (topless) steve buscemi bob*ola,3.8546,2363
177,Lord of Illusions,1995,8973,,,Horror,can't remember clv cult dark fantasy huh?,2.8859,2314
178,Love & Human Remains,1993,15730,,,Comedy Drama,dark comedy adapted from:play gay nihilism psychic character psychotic murderer serial killer,3.388,500
179,Mad Love,1995,47608,,,Drama Romance,nudity (topless - brief),2.7506,1229
180,Mallrats,1995,2293,,,Comedy Romance,kevin smith jay and silent bob view askew good dialogue 1990s crude humor comic books ensemble,3.5873,8400
181,Mighty Morphin Power Rangers: The Movie,1995,9070,,,Action Children,nostalgic power rangers action bad cgi dvd-ram no rec? retarted,1.929,2655
182,Moonlight and Valentino,1995,68274,,,Drama Romance,clv nudity (topless - notable),3.0918,697
183,Mute Witness,1994,48787,,,Comedy Horror Thriller,nudity (topless) moscow mute russia,3.3648,614
184,Nadja,1994,34574,,,Drama,2,3.1037,328
185,"Net, The",1995,1642,,,Action Crime Thriller,sandra bullock computers hacking internet hackers unrealistic simplistic thriller,3.1104,24618
186,Nine Months,1995,11472,,,Comedy Romance,hugh grant robin williams julianne moore cheesy chris columbus comedy jeff goldblum joan cusack,2.8917,11222
187,Party Girl,1995,36196,,,Comedy,librarians bechdel test:pass coming-of-age library perrot library protagonist is `party girl' setting:library underrated,3.4512,943
188,"Prophecy, The",1995,11980,,,Fantasy Horror Mystery,christopher walken christianity religion slashy viggo mortensen angel best devil ever clearplay,3.3425,2498
189,Reckless,1995,58372,,,Comedy Fantasy,mia farrow unreal,3.0015,336
190,Safe,1995,32646,,,Thriller,environment environmental food todd haynes criterion facebook rec interesting effort stark,3.5661,960
191,"Scarlet Letter, The",1995,10533,,,Drama Romance,gary oldman based on a book nathaniel hawthorne trash,2.6761,1664
192,"Show, The",1995,56088,,,Documentary,,3.0247,81
193,Showgirls,1995,10802,,,Drama,nudity (full frontal) strippers campy las vegas raunchy sexual controversial cult film,2.2341,7464
194,Smoke,1995,10149,,,Comedy Drama,ensemble cast multiple storylines new york city forest whitaker harvey keitel paul auster father son relationship interesting,3.8497,5937
195,Something to Talk About,1995,18402,,,Comedy Drama Romance,,3.0895,3242
196,Species,1995,9348,,,Horror Sci-Fi,nudity (topless - notable) nudity (topless) aliens alien first contact lame plot pregnancy shape shifter,2.8503,13628
197,"Stars Fell on Henrietta, The",1995,139408,,,Drama,clv,3.0682,110
198,Strange Days,1995,281,,,Action Crime Drama Mystery Sci-Fi Thriller,cyberpunk virtual reality sci-fi mindfuck nudity (topless) dark ralph fiennes strange,3.4171,9143
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,5967,,,Drama Musical Romance,bittersweet catherine deneuve musical notable soundtrack french golden palm made me cry wistful,3.7836,1516
200,"Tie That Binds, The",1995,79593,,,Thriller,,2.8363,339
201,Three Wishes,1995,47939,,,Drama Fantasy,1950s can't remember clv korean war little league martha coolidge widows/widowers,3.0274,365
202,Total Eclipse,1995,36834,,,Drama Romance,19th century david thewlis great direction homoerotic subtext homosexuality leonardo dicaprio nudity (rear) nudity (topless),2.9833,389
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,9090,,,Comedy,queer appreciating diversity cross dressing homophobia road trip small town clv cross dressing men,3.1474,5429
204,Under Siege 2: Dark Territory,1995,3512,,,Action,action steven seagal geoff murphy nude beach satellite train,2.9491,8335
205,Unstrung Heroes,1995,52856,,,Comedy Drama,diane keaton john turturro,3.5159,1355
206,Unzipped,1995,77350,,,Documentary,douglas keeve,3.4783,1038
207,"Walk in the Clouds, A",1995,9560,,,Drama Romance,keanu reeves romance cheesy cinematography,3.3715,5414
208,Waterworld,1995,9804,,,Action Adventure Sci-Fi,post-apocalyptic kevin costner apocalypse dark hero ocean steampunk dystopia stupid,2.8521,27775
209,White Man's Burden,1995,31611,,,Drama,,2.8356,745
210,Wild Bill,1995,65796,,,Western,clv,2.889,482
211,"Browning Version, The",1994,49805,,,Drama,might like mike figgis,3.5959,579
212,Bushwhacked,1995,26258,,,Adventure Comedy Crime Mystery,greg beeman,2.5783,447
213,Burnt by the Sun (Utomlyonnye solntsem),1994,50797,,,Drama,russian j netflix library nikita mikhalkov no_fa_ganes oscar (best foreign language film) perrot library russian communist tragedy,4.0385,1872
214,Before the Rain (Pred dozhdot),1994,19155,,,Drama War,criterion harrowing horror of war awful bloody gory hard to watch milcho manchevski,4.0472,942
215,Before Sunrise,1995,76,,,Drama Romance,conversation reflective vienna dialogue intelligent bittersweet ethan hawke minimalist,3.8389,5348
216,Billy Madison,1995,11017,,,Comedy,stupid adam sandler school funniest movies stop looking at me swan high school seen more than once clv,3.2602,8547
217,"Babysitter, The",1995,37141,,,Drama Thriller,nudity (topless),2.7303,1014
218,Boys on the Side,1995,9382,,,Comedy Drama,women unlikely friendships whoopi goldberg drew barrymore mary-louise parker nudity (topless - notable) road movie clv,3.2934,4248
219,"Cure, The",1995,6715,,,Drama,coming of age aids childhood ignorance easily confused with other movie(s) (title) gay romance hope peter horton,3.6248,633
220,Castle Freak,1995,18256,,,Horror,h.p. lovecraft full moon entertainment,2.4018,275
222,Circle of Friends,1995,22625,,,Drama Romance,irish ireland minnie driver adapted from:book chick flick chris o'donnell clv etaege,3.5372,5968
223,Clerks,1994,2292,,,Comedy,kevin smith black and white good dialogue low budget quirky cynical surreal crude humor,3.8696,23695
224,Don Juan DeMarco,1995,1909,,,Comedy Drama Romance,fantasy johnny depp mental illness romance psychology insanity madness passion,3.4446,8581
225,Disclosure,1994,8984,,,Drama Thriller,michael crichton demi moore michael douglas author:michael crichton based on a book can't remember clv etaege,3.2883,12662
226,Dream Man,1995,61813,,,Thriller,,2.8372,43
227,Drop Zone,1994,4954,,,Action Thriller,can't remember clv,3.0688,4640
228,Destiny Turns on the Radio,1995,62488,,,Comedy,,2.6874,475
229,Death and the Maiden,1994,10531,,,Drama Thriller,roman polanski psychological dialogue driven nudity (topless - notable) nudity (topless) revenge,3.5628,2428
230,Dolores Claiborne,1995,11929,,,Drama Thriller,stephen king child abuse incest can't remember drama kathy bates 100 essential female performances adapted from:book,3.5912,7284
231,Dumb & Dumber (Dumb and Dumber),1994,8467,,,Adventure Comedy,jim carrey stupid comedy road trip jeff daniels hilarious silly quirky,2.9525,32085
232,Eat Drink Man Woman (Yin shi nan nu),1994,10451,,,Comedy Drama Romance,relationships ang lee food food/cooking cooking aging minimalist breakups and divorces,4.0356,6150
233,Exotica,1994,20156,,,Drama,atom egoyan canada strippers toronto art house dark death dvd-video,3.5237,3478
